Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Pseudodiploria clivosa,14,B,variable,3,8.8589,2022-03-18T00:00:00Z,1899-12-31T09:37:00Z,35.2,26.5,9.0321,2022-04-21T00:00:00Z,1899-12-31T12:45:00Z,36.6,28.4,1.0229478926890634,13.610837847844865,1.0233805950161192,13.880092131037413,1.9782344496535331
Pseudodiploria clivosa,16,A,control,4,4.9493,2022-03-18T00:00:00Z,1899-12-31T10:13:00Z,35.1,27.4,5.285,2022-04-21T00:00:00Z,1899-12-31T01:14:00Z,36.5,28.3,1.0225853343289966,7.602672487001446,1.02333893488439,8.121553580400546,6.824982850257571
Pseudodiploria clivosa,17,C,control,1,3.5028,2022-03-16T00:00:00Z,1899-12-31T02:15:00Z,35.4,28.2,3.9849,2022-04-21T00:00:00Z,1899-12-31T11:06:00Z,36.3,28,1.0225490092695653,5.380585949455946,1.0232882495768405,6.123503983970719,13.807381602925467
Pseudodiploria clivosa,19,A,variable,2,6.0342,2022-03-17T00:00:00Z,1899-12-31T03:45:00Z,35.5,28.3,6.341,2022-04-21T00:00:00Z,1899-12-31T11:50:00Z,36.2,27.8,1.0225908425006873,9.269225708856004,1.0232789794513943,9.744021175501793,5.122277540314505
Pseudodiploria clivosa,21,A,variable,2,5.6475,2022-03-17T00:00:00Z,1899-12-31T04:00:00Z,35.5,28.1,5.8176,2022-04-21T00:00:00Z,1899-12-31T11:42:00Z,36.1,28.1,1.0226567056370548,8.675509568153945,1.0231056577283582,8.938915818321629,3.0362049410284233
Pseudodiploria clivosa,22,C,variable,2,7.5301,2022-03-17T00:00:00Z,1899-12-31T03:43:00Z,35.5,28.3,8.0407,2022-04-21T00:00:00Z,NA,36.2,28.1,1.0225908425006873,11.567100280112788,1.0231804952054604,12.355260128587009,6.81380665324824
Pseudodiploria clivosa,23,C,variable,3,11.5207,2022-03-18T00:00:00Z,1899-12-31T09:05:00Z,35.2,26.7,12.0683,2022-04-21T00:00:00Z,1899-12-31T12:58:00Z,36.6,28.4,1.0228844940118533,17.69984612573844,1.0233805950161192,18.545976668216564,4.78044010364426
Pseudodiploria clivosa,27,B,control,4,3.7882,2022-03-18T00:00:00Z,1899-12-31T10:44:00Z,35.2,27.9,3.8994,2022-04-21T00:00:00Z,1899-12-31T01:27:00Z,36.5,28.3,1.0224977745142552,5.818827287173169,1.02333893488439,5.9922773947803,2.980843029822829
Pseudodiploria clivosa,30,A,control,1,4.8434,2022-03-16T00:00:00Z,1899-12-31T02:54:00Z,35.3,28,5.0732,2022-04-21T00:00:00Z,1899-12-31T10:42:00Z,36.1,28.1,1.0225398803652224,7.439821076163411,1.0231056577283582,7.795123028312241,4.775678722801397
Pseudodiploria clivosa,31,C,variable,2,8.9449,2022-03-17T00:00:00Z,1899-12-31T03:57:00Z,35.5,28.1,9.3768,2022-04-21T00:00:00Z,1899-12-31T12:05:00Z,37,28.4,1.0226567056370548,13.740870391532578,1.0236798972219534,14.412072746839625,4.884714986618725
Pseudodiploria clivosa,32,B,control,1,8.3464,2022-03-16T00:00:00Z,1899-12-31T02:39:00Z,35.3,28.1,8.5181,2022-04-21T00:00:00Z,1899-12-31T11:10:00Z,36.3,28.1,1.0225070826791747,12.820468048892295,1.0232553361457744,13.089341993778403,2.0972240940091047
Pseudodiploria clivosa,34,A,control,4,6.4236,2022-03-18T00:00:00Z,1899-12-31T10:48:00Z,35.2,27.9,6.7378,2022-04-21T00:00:00Z,1899-12-31T01:39:00Z,36.4,28.4,1.0224977745142552,9.866907492182454,1.0232309647364894,10.353510905043484,4.931670974381437
Pseudodiploria clivosa,36,C,control,4,9.4801,2022-03-18T00:00:00Z,1899-12-31T11:00:00Z,35.2,27.9,9.9186,2022-04-21T00:00:00Z,1899-12-31T01:21:00Z,36.5,28.3,1.0224977745142552,14.561814203349973,1.02333893488439,15.24208918496894,4.671636185705952
Pseudodiploria clivosa,44,C,control,4,5.6028,2022-03-18T00:00:00Z,1899-12-31T10:57:00Z,35.2,27.9,6.0148,2022-04-21T00:00:00Z,1899-12-31T01:44:00Z,36.4,28.4,1.0224977745142552,8.606125739024824,1.0232309647364894,9.24252684728777,7.39474564468841
Pseudodiploria clivosa,46,C,control,1,5.8583,2022-03-16T00:00:00Z,1899-12-31T02:56:00Z,35.3,28,6.2503,2022-04-21T00:00:00Z,1899-12-31T11:24:00Z,36.2,28.2,1.0225398803652224,8.99878263420079,1.023147519707664,9.603983102663722,6.725359340971371
Pseudodiploria clivosa,48,C,variable,2,5.4308,2022-03-17T00:00:00Z,1899-12-31T04:36:00Z,35.4,27.8,5.8386,2022-04-21T00:00:00Z,1899-12-31T11:30:00Z,36.2,28.2,1.0226800981139443,8.342724251063052,1.023147519707664,8.971379892679135,7.535376007854727
Pseudodiploria clivosa,51,C,variable,2,6.2912,2022-03-17T00:00:00Z,1899-12-31T03:49:00Z,35.5,28.2,6.7506,2022-04-21T00:00:00Z,1899-12-31T11:38:00Z,36.2,28,1.0226238109263377,9.664174327851018,1.023213397079873,10.373084208641531,7.335441774342972
Pseudodiploria clivosa,53,A,variable,2,5.1579,2022-03-17T00:00:00Z,1899-12-31T04:07:00Z,35.5,28,5.364,2022-04-21T00:00:00Z,NA,36.2,28.1,1.0226895265037685,7.923537992373878,1.0231804952054604,8.242269370793677,4.022589135390866
Pseudodiploria clivosa,54,A,control,4,9.0654,2022-03-18T00:00:00Z,1899-12-31T10:22:00Z,35.1,27.2,9.3834,2022-04-21T00:00:00Z,1899-12-31T01:23:00Z,36.5,28.3,1.0226497653964275,13.92592798014394,1.02333893488439,14.419637817659503,3.5452562889849064
Pseudodiploria clivosa,59,B,variable,3,8.6899,2022-03-18T00:00:00Z,1899-12-31T09:35:00Z,35.2,26.5,8.8315,2022-04-21T00:00:00Z,1899-12-31T12:42:00Z,36.6,28.4,1.0229478926890634,13.351185792139779,1.0233805950161192,13.571819804392879,1.6525424459525822
Pseudodiploria clivosa,61,A,control,1,8.6556,2022-03-16T00:00:00Z,1899-12-31T02:04:00Z,35.4,28.3,8.9469,2022-04-21T00:00:00Z,1899-12-31T10:55:00Z,36.2,28,1.0225160523690926,13.295476500076562,1.023213397079873,13.74795530860885,3.403253794850315
Pseudodiploria clivosa,62,C,variable,2,7.0013,2022-03-17T00:00:00Z,1899-12-31T03:35:00Z,35.5,28.3,7.4007,2022-04-21T00:00:00Z,1899-12-31T11:48:00Z,36.2,27.9,1.0225908425006873,10.754802617648327,1.0232462252041143,11.372234468145335,5.7409872821265875
Pseudodiploria clivosa,63,C,variable,3,7.4639,2022-03-18T00:00:00Z,1899-12-31T08:52:00Z,35.2,26.8,7.9163,2022-04-21T00:00:00Z,1899-12-31T12:31:00Z,36.7,28.4,1.022852680967612,11.466983584202394,1.0234554153632256,12.165862360055403,6.094704598826029
Pseudodiploria clivosa,65,B,variable,2,5.6601,2022-03-17T00:00:00Z,1899-12-31T04:37:00Z,35.4,27.8,5.7878,2022-04-21T00:00:00Z,1899-12-31T11:39:00Z,36.1,28.2,1.0226800981139443,8.69497192558039,1.0230726937598493,8.892973499569965,2.2771962426590457
Pseudodiploria clivosa,68,C,control,1,5.6662,2022-03-16T00:00:00Z,1899-12-31T02:25:00Z,35.3,28.2,6.0518,2022-04-21T00:00:00Z,1899-12-31T10:46:00Z,36.1,28.1,1.0224742110855618,8.703403170998847,1.0231056577283582,9.29877109964914,6.840633680330432
Pseudodiploria clivosa,72,C,control,1,5.8712,2022-03-16T00:00:00Z,1899-12-31T02:36:00Z,35.3,28.1,6.3614,2022-04-21T00:00:00Z,1899-12-31T11:18:00Z,36.2,28.1,1.0225070826791747,9.018442922536238,1.0231804952054604,9.774864350366684,8.3874947629842
Pseudodiploria clivosa,73,B,control,4,5.1801,2022-03-18T00:00:00Z,1899-12-31T10:51:00Z,35.2,27.9,5.746,2022-04-21T00:00:00Z,1899-12-31T01:29:00Z,36.5,28.3,1.0224977745142552,7.9568415686304155,1.02333893488439,8.82998048684608,10.973436013329541
Pseudodiploria clivosa,74,C,variable,2,7.0264,2022-03-17T00:00:00Z,1899-12-31T04:17:00Z,35.4,27.9,7.0954,2022-04-21T00:00:00Z,1899-12-31T12:12:00Z,36.9,28.4,1.0226474369752447,10.79367936431834,1.023605066467161,10.905149627875826,1.0327364728470934
Pseudodiploria clivosa,78,B,variable,2,10.9923,2022-03-17T00:00:00Z,1899-12-31T04:03:00Z,35.5,28,11.1855,2022-04-21T00:00:00Z,1899-12-31T11:52:00Z,36.2,27.8,1.0226895265037685,16.886311613945868,1.0232789794513943,17.18841647351763,1.7890517863135027
Pseudodiploria clivosa,80,C,control,4,4.4558,2022-03-18T00:00:00Z,1899-12-31T10:29:00Z,35.1,27.2,4.8039,2022-04-21T00:00:00Z,1899-12-31T01:12:00Z,36.5,28.4,1.0226497653964275,6.844833089982282,1.023305778140227,7.3821102716045095,7.849383243669697
Pseudodiploria clivosa,82,C,control,1,6.9144,2022-03-16T00:00:00Z,1899-12-31T03:11:00Z,35.3,27.9,7.4927,2022-04-21T00:00:00Z,1899-12-31T10:40:00Z,36.1,28.1,1.0225726040140029,10.621212656709018,1.0231056577283582,11.512756901804606,8.393996748878136
Pseudodiploria clivosa,84,B,control,4,5.4327,2022-03-18T00:00:00Z,1899-12-31T10:59:00Z,35.2,27.9,5.5669,2022-04-21T00:00:00Z,1899-12-31T01:41:00Z,36.4,28.4,1.0224977745142552,8.344845309916497,1.0232309647364894,8.55426991856193,2.5096284097269694
Pseudodiploria clivosa,85,B,variable,2,4.6809,2022-03-17T00:00:00Z,1899-12-31T04:13:00Z,35.5,28,4.8416,2022-04-21T00:00:00Z,1899-12-31T11:27:00Z,36.2,28.1,1.0226895265037685,7.190773180655478,1.0231804952054604,7.439554695308476,3.459732471082058
Pseudodiploria clivosa,87,A,variable,3,5.6749,2022-03-18T00:00:00Z,1899-12-31T08:56:00Z,35.2,26.8,5.962,2022-04-21T00:00:00Z,1899-12-31T12:52:00Z,36.5,28.4,1.022852680967612,8.718496381515049,1.023305778140227,9.161752209518534,5.084085702475898
Pseudodiploria clivosa,88,B,variable,3,6.8328,2022-03-18T00:00:00Z,1899-12-31T09:30:00Z,35.2,26.6,6.9975,2022-04-21T00:00:00Z,1899-12-31T12:17:00Z,36.8,28.4,1.0229162312957476,10.497758057897185,1.0235302391805736,10.75426184110451,2.4434148871850225
Pseudodiploria clivosa,89,B,control,4,9.067,2022-03-18T00:00:00Z,1899-12-31T10:33:00Z,35,27.3,9.3002,2022-04-21T00:00:00Z,1899-12-31T01:16:00Z,36.5,28.3,1.0225426942799585,13.927603999488497,1.02333893488439,14.291782896583,2.614799337401303
Pseudodiploria clivosa,92,B,variable,3,9.7905,2022-03-18T00:00:00Z,1899-12-31T09:24:00Z,35.2,26.5,9.9769,2022-04-21T00:00:00Z,1899-12-31T12:29:00Z,36.8,28.4,1.0229478926890634,15.042150599885442,1.0235302391805736,15.333218286890403,1.9350137805905097
Pseudodiploria clivosa,93,B,control,1,4.1982,2022-03-16T00:00:00Z,1899-12-31T02:10:00Z,35.4,28.2,4.4716,2022-04-21T00:00:00Z,1899-12-31T11:21:00Z,36.3,28.1,1.0225490092695653,6.44877695929141,1.0232553361457744,6.871286044937192,6.551770797981002
Pseudodiploria clivosa,95,C,control,1,5.1371,2022-03-16T00:00:00Z,1899-12-31T02:43:00Z,35.3,28,5.6845,2022-04-21T00:00:00Z,1899-12-31T11:02:00Z,36.2,28,1.0225398803652224,7.89096602600633,1.023213397079873,8.734897221583678,10.694903422419964
Pseudodiploria clivosa,97,A,control,1,8.6235,2022-03-16T00:00:00Z,1899-12-31T02:33:00Z,35.3,28.1,8.9379,2022-04-21T00:00:00Z,1899-12-31T11:13:00Z,36.3,28.1,1.0225070826791747,13.246106850812652,1.0232553361457744,13.734427842616546,3.6865246317557476
Pseudodiploria clivosa,98,A,variable,3,7.4001,2022-03-18T00:00:00Z,1899-12-31T09:34:00Z,35.1,26.6,7.5882,2022-04-21T00:00:00Z,1899-12-31T12:20:00Z,36.7,28.4,1.022841250958847,11.368897849170152,1.0234554153632256,11.661634445457146,2.5748898457062155
Pseudodiploria clivosa,99,B,variable,2,5.4498,2022-03-17T00:00:00Z,1899-12-31T04:44:00Z,35.4,27.7,5.6802,2022-04-21T00:00:00Z,NA,36.2,28.2,1.0227126849887511,8.372054841619823,1.023147519707664,8.727988227725145,4.251445945335641
Pseudodiploria clivosa,100,A,variable,3,3.1145,2022-03-18T00:00:00Z,1899-12-31T09:45:00Z,35.2,26.5,3.3352,2022-04-21T00:00:00Z,1899-12-31T12:38:00Z,36.7,28.4,1.0229478926890634,4.785126198186324,1.0234554153632256,5.1255743394334194,7.114716041891081
Pseudodiploria clivosa,106,C,variable,2,9.0656,2022-03-17T00:00:00Z,1899-12-31T04:42:00Z,35.4,27.7,9.6875,2022-04-21T00:00:00Z,1899-12-31T12:08:00Z,37.1,28.4,1.0227126849887511,13.92669462589245,1.023754731443886,14.890200892931134,6.9184131118042655
Pseudodiploria clivosa,108,B,variable,2,6.7353,2022-03-17T00:00:00Z,1899-12-31T04:45:00Z,35.4,27.7,6.8859,2022-04-21T00:00:00Z,NA,36.2,28.1,1.0227126849887511,10.346856944247861,1.0231804952054604,10.58080586509101,2.261062679263277
Pseudodiploria clivosa,113,B,variable,3,5.0489,2022-03-18T00:00:00Z,1899-12-31T09:48:00Z,35.2,26.4,5.0358,2022-04-21T00:00:00Z,1899-12-31T12:36:00Z,36.7,28.4,1.0229794780615273,7.75727205335092,1.0234554153632256,7.739076294830539,-0.23456388270565032
Pseudodiploria clivosa,116,A,control,4,5.6447,2022-03-18T00:00:00Z,1899-12-31T10:04:00Z,35,27.7,5.8911,2022-04-21T00:00:00Z,1899-12-31T01:19:00Z,36.5,28.3,1.0224132804796875,8.670101773490506,1.02333893488439,9.052958239829263,4.415824362170339
Pseudodiploria clivosa,117,A,variable,3,6.0109,2022-03-18T00:00:00Z,1899-12-31T09:25:00Z,35.1,26.6,6.2472,2022-04-21T00:00:00Z,1899-12-31T01:02:00Z,36.6,28.5,1.022841250958847,9.234646569854037,1.023347353697377,9.600225838458648,3.958779210869022
Pseudodiploria clivosa,118,B,variable,3,7.6856,2022-03-18T00:00:00Z,1899-12-31T09:11:00Z,35.2,26.6,7.8253,2022-04-21T00:00:00Z,1899-12-31T12:50:00Z,36.5,28.3,1.0229162312957476,11.807980524788464,1.02333893488439,12.025277811297709,1.8402578328535808
Pseudodiploria clivosa,122,B,control,1,4.8715,2022-03-16T00:00:00Z,1899-12-31T02:49:00Z,35.2,28,4.9689,2022-04-21T00:00:00Z,1899-12-31T11:01:00Z,36.2,27.9,1.0224650624939118,7.48269125736757,1.0232462252041143,7.635425817661486,2.041171485507051
Pseudodiploria clivosa,125,A,variable,3,3.5175,2022-03-18T00:00:00Z,1899-12-31T09:15:00Z,35.2,26.6,3.6075,2022-04-21T00:00:00Z,1899-12-31T12:55:00Z,36.6,28.3,1.0229162312957476,5.40420676276978,1.0234137632126588,5.543927044082069,2.585398513521692
Pseudodiploria clivosa,129,B,control,1,11.8868,2022-03-16T00:00:00Z,1899-12-31T03:01:00Z,35.3,27.9,12.119,2022-04-21T00:00:00Z,1899-12-31T10:39:00Z,36.1,28.1,1.0225726040140029,18.259318322308335,1.0231056577283582,18.621204758360808,1.9819274173578403
Pseudodiploria clivosa,131,C,control,4,7.2307,2022-03-18T00:00:00Z,1899-12-31T10:41:00Z,35.2,27.9,7.5822,2022-04-21T00:00:00Z,1899-12-31T01:10:00Z,36.5,28.3,1.0224977745142552,11.106645495317839,1.02333893488439,11.651701713777298,4.907478308272603
Pseudodiploria clivosa,133,B,control,1,8.2633,2022-03-16T00:00:00Z,1899-12-31T02:06:00Z,35.4,28.3,8.4353,2022-04-21T00:00:00Z,1899-12-31T11:19:00Z,36.3,28,1.0225160523690926,12.692882176057426,1.0232882495768405,12.962331088857487,2.122834743619721
Pseudodiploria clivosa,134,C,control,4,7.1614,2022-03-18T00:00:00Z,1899-12-31T10:25:00Z,35.1,27.2,7.578,2022-04-21T00:00:00Z,1899-12-31T01:35:00Z,36.4,28.4,1.0226497653964275,11.001074485075433,1.0232309647364894,11.644588090833732,5.849552301743975
Pseudodiploria clivosa,136,C,variable,3,4.6232,2022-03-18T00:00:00Z,1899-12-31T09:47:00Z,35.2,26.4,5.0325,2022-04-21T00:00:00Z,1899-12-31T12:23:00Z,36.8,28.4,1.0229794780615273,7.103214592693848,1.0235302391805736,7.734308355178056,8.884621944736573
Pseudodiploria clivosa,139,B,control,1,8.2496,2022-03-16T00:00:00Z,1899-12-31T03:06:00Z,35.3,27.9,8.4715,2022-04-21T00:00:00Z,1899-12-31T11:23:00Z,36.2,28.1,1.0225726040140029,12.67221392062749,1.0231804952054604,13.017223149641804,2.7225647481591007
Pseudodiploria clivosa,141,A,variable,2,4.555,2022-03-17T00:00:00Z,1899-12-31T04:01:00Z,35.5,28.1,4.7342,2022-04-21T00:00:00Z,NA,36.2,28.2,1.0226567056370548,6.9972458756868035,1.023147519707664,7.274399117583251,3.9608904248951298
Pseudodiploria clivosa,142,A,control,1,7.0851,2022-03-16T00:00:00Z,1899-12-31T03:16:00Z,35.3,27.8,7.4345,2022-04-21T00:00:00Z,1899-12-31T10:45:00Z,36.1,28.1,1.0226052534958177,10.883611291289922,1.0231056577283582,11.423330866905967,4.959011868128543
Pseudodiploria clivosa,145,C,variable,2,8.4669,2022-03-17T00:00:00Z,1899-12-31T04:33:00Z,35.4,27.8,9.0085,2022-04-21T00:00:00Z,1899-12-31T11:57:00Z,36.3,27.8,1.0226800981139443,13.006741541085248,1.023353855156835,13.843630645040937,6.434271806756159
Pseudodiploria clivosa,147,C,control,4,4.5133,2022-03-18T00:00:00Z,1899-12-31T10:21:00Z,35.1,27.3,4.7872,2022-04-21T00:00:00Z,1899-12-31T01:06:00Z,36.6,28.4,1.022617587369742,6.9330454723886765,1.0233805950161192,7.356736201957719,6.11117771052302
Pseudodiploria clivosa,149,B,variable,3,9.9045,2022-03-18T00:00:00Z,1899-12-31T09:38:00Z,35.2,26.5,10.1218,2022-04-21T00:00:00Z,1899-12-31T12:48:00Z,36.6,28.3,1.0229478926890634,15.21730050728414,1.0234137632126588,15.554960708188464,2.218923131226162
Pseudodiploria clivosa,150,A,variable,3,8.5102,2022-03-18T00:00:00Z,1899-12-31T09:03:00Z,35.2,26.7,8.7879,2022-04-21T00:00:00Z,1899-12-31T12:26:00Z,36.8,28.4,1.0228844940118533,13.074659569232708,1.0235302391805736,13.505877475304372,3.298119570825432
